排名,电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
240,小姐,Park Chan-wook,Kim Min-hee / Ha Jung-woo / Cho Jin-woong,剧情/爱情/惊悚,韩国,2016,2小时 25分钟,8.1,191000 ,"$37,863,670 "
241,阿尔及尔之战,Gillo Pontecorvo,Brahim Hadjadj / Jean Martin / Yacef Saadi,剧情/战争,意大利/阿尔及利亚,1966,2小时 1分钟,8.1,72000 ,"$962,002 "
242,愤怒的葡萄,John Ford,Henry Fonda / Jane Darwell / John Carradine,剧情,美国,1940,2小时 9分钟,8.1,106000 ,"$7,304 "
243,你逃我也逃,Ernst Lubitsch,Carole Lombard / Jack Benny / Robert Stack,喜剧/爱情/战争,美国,1942,1小时 39分钟,8.1,48000 ,"$4,578,000 "
244,荒野生存,Sean Penn,Emile Hirsch / Vince Vaughn / Catherine Keener,冒险/传记/剧情,美国,2007,2小时 28分钟,8,682000 ,"$56,676,733 "
245,土拨鼠之日,Harold Ramis,Bill Murray / Andie MacDowell / Chris Elliott,喜剧/剧情/奇幻,美国,1993,1小时 41分钟,8,721000 ,"$71,108,778 "
246,相助,Tate Taylor,Viola Davis / Emma Stone / Octavia Spencer,剧情,美国/印度,2011,2小时 26分钟,8.1,516000 ,"$221,802,186 "
247,瓦塞浦黑帮,Anurag Kashyap,Manoj Bajpayee / Nawazuddin Siddiqui / Tigmanshu Dhulia,动作/喜剧/犯罪,印度/法国,2012,5小时 21分钟,8.2,109000 ,"$4,384,642 "
248,误杀瞒天记,Nishikant Kamat,Ajay Devgn / Shriya Saran / Tabu,犯罪/剧情/悬疑,印度,2015,2小时 43分钟,8.2,102000 ,N/A
249,调音师,Sriram Raghavan,Ayushmann Khurrana / Tabu / Radhika Apte,犯罪/悬疑/惊悚,印度,2018,2小时 19分钟,8.2,110000 ,"$62,475,342 "
250,爱情是狗娘,Alejandro G. I?árritu,Emilio Echevarría / Gael García Bernal / Goya Toledo,剧情/惊悚,墨西哥,2000,2小时 34分钟,8,269000 ,"$20,908,467 "
