电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
Tengoku to jigoku,Akira Kurosawa,Toshirô Mifune / Yutaka Sada / Tatsuya Nakadai,Crime/Drama/Mystery,Japan,1963,2h 23m,8.4,62K,"$64,503"
American Beauty,Sam Mendes,Kevin Spacey / Annette Bening / Thora Birch,Drama,United States,1999,2h 2m,8.3,1.3M,"$356,296,601"
Mononoke-hime,Hayao Miyazaki,Yôji Matsuda / Yuriko Ishida / Yûko Tanaka,Animation/Adventure/Fantasy,Japan,1997,2h 13m,8.3,464K,"$177,642,980"
Kimi no na wa.,Makoto Shinkai,Ryûnosuke Kamiki / Mone Kamishiraishi / Ryo Narita,Animation/Drama/Fantasy,Japan,2016,N/A,8.4,363K,"$405,340,703"
3 Idiots,Rajkumar Hirani,Aamir Khan / Madhavan / Mona Singh,Comedy/Drama,India,2009,2h 50m,8.4,463K,"$60,262,836"
Joker,Todd Phillips,Joaquin Phoenix / Robert De Niro / Zazie Beetz,Crime/Drama/Thriller,United States/Canada/Australia,2019,2h 2m,8.3,1.6M,"$1,078,958,629"
Capharnaüm,Nadine Labaki,Zain Al Rafeea / Yordanos Shiferaw / Boluwatife Treasure Bankole,Drama,Lebanon/United States/France/Cyprus/Qatar/United Kingdom,2018,2h 6m,8.4,118K,"$64,417,003"
Once Upon a Time in America,Sergio Leone,Robert De Niro / James Woods / Elizabeth McGovern,Crime/Drama,Italy/United States,1984,3h 49m,8.3,398K,"$5,476,126"
Singin' in the Rain,Stanley Donen,Gene Kelly / Donald O'Connor / Debbie Reynolds,Comedy/Musical/Romance,United States,1952,1h 43m,8.3,274K,"$2,096,442"
Idi i smotri,Elem Klimov,Aleksey Kravchenko / Olga Mironova / Liubomiras Laucevicius,Drama/Thriller/War,Soviet Union,1985,2h 22m,8.3,114K,"$20,929,648"
Requiem for a Dream,Darren Aronofsky,Ellen Burstyn / Jared Leto / Jennifer Connelly,Drama,United States,2000,1h 42m,8.3,944K,"$7,391,471"
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,Mark Hamill / Harrison Ford / Carrie Fisher,Action/Adventure/Fantasy,United States,1983,2h 11m,8.3,1.2M,"$482,466,382"
Toy Story 3,Lee Unkrich,Tom Hanks / Tim Allen / Joan Cusack,Animation/Adventure/Comedy,United States,2010,1h 43m,8.3,937K,"$1,067,316,101"
Jagten,Thomas Vinterberg,Mads Mikkelsen / Thomas Bo Larsen / Annika Wedderkopp,Drama,Denmark/Sweden/Belgium/France,2012,1h 55m,8.3,391K,"$15,886,373"
Ikiru,Akira Kurosawa,Takashi Shimura / Nobuo Kaneko / Shin'ichi Himori,Drama,Japan,1952,2h 23m,8.3,98K,"$114,026"
Eternal Sunshine of the Spotless Mind,Michel Gondry,Jim Carrey / Kate Winslet / Tom Wilkinson,Drama/Romance/Sci-Fi,United States,2004,1h 48m,8.3,1.1M,"$73,384,095"
Incendies,Denis Villeneuve,Lubna Azabal / Mélissa Désormeaux-Poulin / Maxim Gaudette,Drama/Mystery/War,Canada/France,2010,2h 11m,8.3,232K,"$6,796,926"
2001: A Space Odyssey,Stanley Kubrick,Keir Dullea / Gary Lockwood / William Sylvester,Adventure/Sci-Fi,United Kingdom/United States,1968,2h 29m,8.3,758K,"$66,890,296"
The Apartment,Billy Wilder,Jack Lemmon / Shirley MacLaine / Fred MacMurray,Comedy/Drama/Romance,United States,1960,2h 5m,8.3,210K,"$18,783,770"
Reservoir Dogs,Quentin Tarantino,Harvey Keitel / Tim Roth / Michael Madsen,Crime/Thriller,United States,1992,1h 39m,8.3,1.1M,"$2,932,006"
Lawrence of Arabia,David Lean,Peter O'Toole / Alec Guinness / Anthony Quinn,Adventure/Biography/Drama,United Kingdom/United States,1962,3h 47m,8.3,331K,"$45,874,235"
Scarface,Brian De Palma,Al Pacino / Michelle Pfeiffer / Steven Bauer,Crime/Drama,United States,1983,2h 50m,8.3,974K,"$66,443,303"
Double Indemnity,Billy Wilder,Fred MacMurray / Barbara Stanwyck / Edward G. Robinson,Crime/Drama/Film-Noir,United States,1944,1h 47m,8.3,176K,"$21,026"
Heat,Michael Mann,Al Pacino / Robert De Niro / Val Kilmer,Action/Crime/Drama,United States,1995,2h 50m,8.3,765K,"$187,436,818"
North by Northwest,Alfred Hitchcock,Cary Grant / Eva Marie Saint / James Mason,Adventure/Drama/Mystery,United States,1959,2h 16m,8.3,362K,"$197,920"
Up,Pete Docter,Edward Asner / Jordan Nagai / John Ratzenberger,Animation/Adventure/Comedy,United States,2009,1h 36m,8.3,1.2M,"$735,103,954"
Citizen Kane,Orson Welles,Orson Welles / Joseph Cotten / Dorothy Comingore,Drama/Mystery,United States,1941,1h 59m,8.3,484K,"$1,711,106"
M - Eine Stadt sucht einen Mörder,Fritz Lang,Peter Lorre / Ellen Widmann / Inge Landgut,Crime/Mystery/Thriller,Germany,1931,1h 57m,8.3,178K,"$35,566"
